Pheno,UKB ID,IDP short name,,Units,Type,Cat.,Category name,IDP description,N(disc),Npar(disc),Nnonpar(disc),N(rep),Npar(rep),Nnonpar(rep),N(all),Npar(all),Nnonpar(all),Heritability,Heritability(SE)
1234,27459,aparc-a2009s_lh_thickness_S-oc-middle+Lunatus,,mm,float,3,cortical thickness,Mean thickness of S-oc-middle+Lunatus in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.05E-01,1.62E-02
1235,27460,aparc-a2009s_lh_thickness_S-oc-sup+transversal,,mm,float,3,cortical thickness,Mean thickness of S-oc-sup+transversal in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.62E-01,1.84E-02
1236,27461,aparc-a2009s_lh_thickness_S-occipital-ant,,mm,float,3,cortical thickness,Mean thickness of S-occipital-ant in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,8.26E-02,1.60E-02
1237,27462,aparc-a2009s_lh_thickness_S-oc-temp-lat,,mm,float,3,cortical thickness,Mean thickness of S-oc-temp-lat in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.12E-01,1.57E-02
1238,27463,aparc-a2009s_lh_thickness_S-oc-temp-med+Lingual,,mm,float,3,cortical thickness,Mean thickness of S-oc-temp-med+Lingual in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,2.07E-01,1.72E-02
1239,27464,aparc-a2009s_lh_thickness_S-orbital-lateral,,mm,float,3,cortical thickness,Mean thickness of S-orbital-lateral in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21281,21261,21269,10686,-,-,31967,31942,31953,5.34E-02,1.62E-02
1240,27465,aparc-a2009s_lh_thickness_S-orbital-med-olfact,,mm,float,3,cortical thickness,Mean thickness of S-orbital-med-olfact in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10685,-,-,31967,31942,31953,1.10E-01,1.60E-02
1241,27466,aparc-a2009s_lh_thickness_S-orbital-H-Shaped,,mm,float,3,cortical thickness,Mean thickness of S-orbital-H-Shaped in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10685,-,-,31967,31942,31953,1.15E-01,1.66E-02
1242,27467,aparc-a2009s_lh_thickness_S-parieto-occipital,,mm,float,3,cortical thickness,Mean thickness of S-parieto-occipital in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.55E-01,1.81E-02
1243,27468,aparc-a2009s_lh_thickness_S-pericallosal,,mm,float,3,cortical thickness,Mean thickness of S-pericallosal in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.64E-01,1.77E-02
1244,27469,aparc-a2009s_lh_thickness_S-postcentral,,mm,float,3,cortical thickness,Mean thickness of S-postcentral in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.49E-01,1.84E-02
1245,27470,aparc-a2009s_lh_thickness_S-precentral-inf-part,,mm,float,3,cortical thickness,Mean thickness of S-precentral-inf-part in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.56E-01,1.77E-02
1246,27471,aparc-a2009s_lh_thickness_S-precentral-sup-part,,mm,float,3,cortical thickness,Mean thickness of S-precentral-sup-part in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.54E-01,1.73E-02
1247,27472,aparc-a2009s_lh_thickness_S-suborbital,,mm,float,3,cortical thickness,Mean thickness of S-suborbital in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,8.32E-02,1.57E-02
1248,27473,aparc-a2009s_lh_thickness_S-subparietal,,mm,float,3,cortical thickness,Mean thickness of S-subparietal in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.36E-01,1.50E-02
1249,27474,aparc-a2009s_lh_thickness_S-temporal-inf,,mm,float,3,cortical thickness,Mean thickness of S-temporal-inf in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.03E-01,1.62E-02
1250,27475,aparc-a2009s_lh_thickness_S-temporal-sup,,mm,float,3,cortical thickness,Mean thickness of S-temporal-sup in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.50E-01,1.87E-02
1251,27476,aparc-a2009s_lh_thickness_S-temporal-transverse,,mm,float,3,cortical thickness,Mean thickness of S-temporal-transverse in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21280,21260,21268,10682,-,-,31962,31937,31948,1.48E-01,1.72E-02
1252,27625,aparc-a2009s_rh_thickness_G+S-frontomargin,,mm,float,3,cortical thickness,Mean thickness of G+S-frontomargin in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21281,21261,21269,10686,-,-,31967,31942,31953,9.28E-02,1.49E-02
1253,27626,aparc-a2009s_rh_thickness_G+S-occipital-inf,,mm,float,3,cortical thickness,Mean thickness of G+S-occipital-inf in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.44E-01,1.95E-02
1254,27627,aparc-a2009s_rh_thickness_G+S-paracentral,,mm,float,3,cortical thickness,Mean thickness of G+S-paracentral in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.68E-01,1.95E-02
1255,27628,aparc-a2009s_rh_thickness_G+S-subcentral,,mm,float,3,cortical thickness,Mean thickness of G+S-subcentral in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.98E-01,1.91E-02
1256,27629,aparc-a2009s_rh_thickness_G+S-transv-frontopol,,mm,float,3,cortical thickness,Mean thickness of G+S-transv-frontopol in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.11E-01,1.49E-02
1257,27630,aparc-a2009s_rh_thickness_G+S-cingul-Ant,,mm,float,3,cortical thickness,Mean thickness of G+S-cingul-Ant in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.30E-01,1.87E-02
1258,27631,aparc-a2009s_rh_thickness_G+S-cingul-Mid-Ant,,mm,float,3,cortical thickness,Mean thickness of G+S-cingul-Mid-Ant in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,9.60E-02,1.75E-02
1259,27632,aparc-a2009s_rh_thickness_G+S-cingul-Mid-Post,,mm,float,3,cortical thickness,Mean thickness of G+S-cingul-Mid-Post in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.31E-01,1.83E-02
1260,27633,aparc-a2009s_rh_thickness_G-cingul-Post-dorsal,,mm,float,3,cortical thickness,Mean thickness of G-cingul-Post-dorsal in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.29E-01,1.76E-02
1261,27634,aparc-a2009s_rh_thickness_G-cingul-Post-ventral,,mm,float,3,cortical thickness,Mean thickness of G-cingul-Post-ventral in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.21E-01,1.73E-02
1262,27635,aparc-a2009s_rh_thickness_G-cuneus,,mm,float,3,cortical thickness,Mean thickness of G-cuneus in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.62E-01,1.84E-02
1263,27636,aparc-a2009s_rh_thickness_G-front-inf-Opercular,,mm,float,3,cortical thickness,Mean thickness of G-front-inf-Opercular in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.46E-01,1.75E-02
1264,27637,aparc-a2009s_rh_thickness_G-front-inf-Orbital,,mm,float,3,cortical thickness,Mean thickness of G-front-inf-Orbital in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21281,21261,21269,10685,-,-,31966,31941,31952,1.06E-01,1.83E-02
1265,27638,aparc-a2009s_rh_thickness_G-front-inf-Triangul,,mm,float,3,cortical thickness,Mean thickness of G-front-inf-Triangul in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21281,21261,21269,10686,-,-,31967,31942,31953,1.44E-01,1.77E-02
1266,27639,aparc-a2009s_rh_thickness_G-front-middle,,mm,float,3,cortical thickness,Mean thickness of G-front-middle in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.77E-01,1.88E-02
1267,27640,aparc-a2009s_rh_thickness_G-front-sup,,mm,float,3,cortical thickness,Mean thickness of G-front-sup in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,2.23E-01,2.06E-02
1268,27641,aparc-a2009s_rh_thickness_G-Ins-lg+S-cent-ins,,mm,float,3,cortical thickness,Mean thickness of G-Ins-lg+S-cent-ins in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,9.86E-02,1.62E-02
1269,27642,aparc-a2009s_rh_thickness_G-insular-short,,mm,float,3,cortical thickness,Mean thickness of G-insular-short in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.06E-01,1.51E-02
1270,27643,aparc-a2009s_rh_thickness_G-occipital-middle,,mm,float,3,cortical thickness,Mean thickness of G-occipital-middle in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.49E-01,1.87E-02
1271,27644,aparc-a2009s_rh_thickness_G-occipital-sup,,mm,float,3,cortical thickness,Mean thickness of G-occipital-sup in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.33E-01,1.62E-02
1272,27645,aparc-a2009s_rh_thickness_G-oc-temp-lat-fusifor,,mm,float,3,cortical thickness,Mean thickness of G-oc-temp-lat-fusifor in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.40E-01,2.05E-02
1273,27646,aparc-a2009s_rh_thickness_G-oc-temp-med-Lingual,,mm,float,3,cortical thickness,Mean thickness of G-oc-temp-med-Lingual in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.60E-01,1.90E-02
1274,27647,aparc-a2009s_rh_thickness_G-oc-temp-med-Parahip,,mm,float,3,cortical thickness,Mean thickness of G-oc-temp-med-Parahip in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,9.70E-02,1.71E-02
1275,27648,aparc-a2009s_rh_thickness_G-orbital,,mm,float,3,cortical thickness,Mean thickness of G-orbital in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.03E-01,1.80E-02
1276,27649,aparc-a2009s_rh_thickness_G-pariet-inf-Angular,,mm,float,3,cortical thickness,Mean thickness of G-pariet-inf-Angular in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.75E-01,2.03E-02
1277,27650,aparc-a2009s_rh_thickness_G-pariet-inf-Supramar,,mm,float,3,cortical thickness,Mean thickness of G-pariet-inf-Supramar in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.89E-01,2.10E-02
1278,27651,aparc-a2009s_rh_thickness_G-parietal-sup,,mm,float,3,cortical thickness,Mean thickness of G-parietal-sup in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.44E-01,1.88E-02
1279,27652,aparc-a2009s_rh_thickness_G-postcentral,,mm,float,3,cortical thickness,Mean thickness of G-postcentral in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.74E-01,2.14E-02
1280,27653,aparc-a2009s_rh_thickness_G-precentral,,mm,float,3,cortical thickness,Mean thickness of G-precentral in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.74E-01,1.96E-02
1281,27654,aparc-a2009s_rh_thickness_G-precuneus,,mm,float,3,cortical thickness,Mean thickness of G-precuneus in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.93E-01,2.05E-02
1282,27655,aparc-a2009s_rh_thickness_G-rectus,,mm,float,3,cortical thickness,Mean thickness of G-rectus in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,8.10E-02,1.56E-02
1283,27656,aparc-a2009s_rh_thickness_G-subcallosal,,mm,float,3,cortical thickness,Mean thickness of G-subcallosal in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,4.47E-02,1.71E-02
1284,27657,aparc-a2009s_rh_thickness_G-temp-sup-G-T-transv,,mm,float,3,cortical thickness,Mean thickness of G-temp-sup-G-T-transv in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21281,21261,21269,10686,-,-,31967,31942,31953,1.62E-01,2.12E-02
1285,27658,aparc-a2009s_rh_thickness_G-temp-sup-Lateral,,mm,float,3,cortical thickness,Mean thickness of G-temp-sup-Lateral in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.97E-01,1.92E-02
1286,27659,aparc-a2009s_rh_thickness_G-temp-sup-Plan-polar,,mm,float,3,cortical thickness,Mean thickness of G-temp-sup-Plan-polar in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,9.58E-02,1.58E-02
1287,27660,aparc-a2009s_rh_thickness_G-temp-sup-Plan-tempo,,mm,float,3,cortical thickness,Mean thickness of G-temp-sup-Plan-tempo in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.68E-01,2.01E-02
1288,27661,aparc-a2009s_rh_thickness_G-temporal-inf,,mm,float,3,cortical thickness,Mean thickness of G-temporal-inf in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.45E-01,1.72E-02
1289,27662,aparc-a2009s_rh_thickness_G-temporal-middle,,mm,float,3,cortical thickness,Mean thickness of G-temporal-middle in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.81E-01,1.98E-02
1290,27663,aparc-a2009s_rh_thickness_Lat-Fis-ant-Horizont,,mm,float,3,cortical thickness,Mean thickness of Lat-Fis-ant-Horizont in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21281,21261,21269,10685,-,-,31966,31941,31952,1.07E-01,1.64E-02
1291,27664,aparc-a2009s_rh_thickness_Lat-Fis-ant-Vertical,,mm,float,3,cortical thickness,Mean thickness of Lat-Fis-ant-Vertical in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21269,21249,21257,10683,-,-,31952,31927,31938,6.46E-02,1.33E-02
1292,27665,aparc-a2009s_rh_thickness_Lat-Fis-post,,mm,float,3,cortical thickness,Mean thickness of Lat-Fis-post in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.94E-01,2.42E-02
1293,27666,aparc-a2009s_rh_thickness_Pole-occipital,,mm,float,3,cortical thickness,Mean thickness of Pole-occipital in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.56E-01,1.77E-02
1294,27667,aparc-a2009s_rh_thickness_Pole-temporal,,mm,float,3,cortical thickness,Mean thickness of Pole-temporal in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.11E-01,1.54E-02
1295,27668,aparc-a2009s_rh_thickness_S-calcarine,,mm,float,3,cortical thickness,Mean thickness of S-calcarine in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.52E-01,1.74E-02
1296,27669,aparc-a2009s_rh_thickness_S-central,,mm,float,3,cortical thickness,Mean thickness of S-central in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.38E-01,1.91E-02
1297,27670,aparc-a2009s_rh_thickness_S-cingul-Marginalis,,mm,float,3,cortical thickness,Mean thickness of S-cingul-Marginalis in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.32E-01,1.91E-02
1298,27671,aparc-a2009s_rh_thickness_S-circular-insula-ant,,mm,float,3,cortical thickness,Mean thickness of S-circular-insula-ant in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21281,21261,21269,10685,-,-,31966,31941,31952,9.99E-02,1.55E-02
1299,27672,aparc-a2009s_rh_thickness_S-circular-insula-inf,,mm,float,3,cortical thickness,Mean thickness of S-circular-insula-inf in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.91E-01,2.37E-02
1300,27673,aparc-a2009s_rh_thickness_S-circular-insula-sup,,mm,float,3,cortical thickness,Mean thickness of S-circular-insula-sup in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10685,-,-,31967,31942,31953,1.74E-01,2.62E-02
1301,27674,aparc-a2009s_rh_thickness_S-collat-transv-ant,,mm,float,3,cortical thickness,Mean thickness of S-collat-transv-ant in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,5.30E-02,1.53E-02
1302,27675,aparc-a2009s_rh_thickness_S-collat-transv-post,,mm,float,3,cortical thickness,Mean thickness of S-collat-transv-post in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21281,21261,21269,10685,-,-,31966,31941,31952,1.39E-01,1.59E-02
1303,27676,aparc-a2009s_rh_thickness_S-front-inf,,mm,float,3,cortical thickness,Mean thickness of S-front-inf in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.49E-01,1.75E-02
1304,27677,aparc-a2009s_rh_thickness_S-front-middle,,mm,float,3,cortical thickness,Mean thickness of S-front-middle in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.32E-01,1.95E-02
1305,27678,aparc-a2009s_rh_thickness_S-front-sup,,mm,float,3,cortical thickness,Mean thickness of S-front-sup in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.57E-01,2.08E-02
1306,27679,aparc-a2009s_rh_thickness_S-interm-prim-Jensen,,mm,float,3,cortical thickness,Mean thickness of S-interm-prim-Jensen in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21279,21259,21267,10685,-,-,31964,31939,31950,6.17E-02,1.94E-02
1307,27680,aparc-a2009s_rh_thickness_S-intrapariet+P-trans,,mm,float,3,cortical thickness,Mean thickness of S-intrapariet+P-trans in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.55E-01,2.02E-02
1308,27681,aparc-a2009s_rh_thickness_S-oc-middle+Lunatus,,mm,float,3,cortical thickness,Mean thickness of S-oc-middle+Lunatus in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.12E-01,1.66E-02
1309,27682,aparc-a2009s_rh_thickness_S-oc-sup+transversal,,mm,float,3,cortical thickness,Mean thickness of S-oc-sup+transversal in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.62E-01,1.64E-02
1310,27683,aparc-a2009s_rh_thickness_S-occipital-ant,,mm,float,3,cortical thickness,Mean thickness of S-occipital-ant in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10685,-,-,31967,31942,31953,1.18E-01,1.69E-02
1311,27684,aparc-a2009s_rh_thickness_S-oc-temp-lat,,mm,float,3,cortical thickness,Mean thickness of S-oc-temp-lat in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.13E-01,1.58E-02
1312,27685,aparc-a2009s_rh_thickness_S-oc-temp-med+Lingual,,mm,float,3,cortical thickness,Mean thickness of S-oc-temp-med+Lingual in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.89E-01,1.78E-02
1313,27686,aparc-a2009s_rh_thickness_S-orbital-lateral,,mm,float,3,cortical thickness,Mean thickness of S-orbital-lateral in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21281,21261,21269,10685,-,-,31966,31941,31952,7.83E-02,1.55E-02
1314,27687,aparc-a2009s_rh_thickness_S-orbital-med-olfact,,mm,float,3,cortical thickness,Mean thickness of S-orbital-med-olfact in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.32E-01,1.53E-02
1315,27688,aparc-a2009s_rh_thickness_S-orbital-H-Shaped,,mm,float,3,cortical thickness,Mean thickness of S-orbital-H-Shaped in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21281,21261,21269,10686,-,-,31967,31942,31953,9.94E-02,1.65E-02
1316,27689,aparc-a2009s_rh_thickness_S-parieto-occipital,,mm,float,3,cortical thickness,Mean thickness of S-parieto-occipital in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.69E-01,1.91E-02
1317,27690,aparc-a2009s_rh_thickness_S-pericallosal,,mm,float,3,cortical thickness,Mean thickness of S-pericallosal in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,2.11E-01,2.06E-02
1318,27691,aparc-a2009s_rh_thickness_S-postcentral,,mm,float,3,cortical thickness,Mean thickness of S-postcentral in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.39E-01,1.88E-02
1319,27692,aparc-a2009s_rh_thickness_S-precentral-inf-part,,mm,float,3,cortical thickness,Mean thickness of S-precentral-inf-part in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.52E-01,2.03E-02
1320,27693,aparc-a2009s_rh_thickness_S-precentral-sup-part,,mm,float,3,cortical thickness,Mean thickness of S-precentral-sup-part in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.49E-01,1.60E-02
1321,27694,aparc-a2009s_rh_thickness_S-suborbital,,mm,float,3,cortical thickness,Mean thickness of S-suborbital in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10685,-,-,31967,31942,31953,4.75E-02,1.65E-02
1322,27695,aparc-a2009s_rh_thickness_S-subparietal,,mm,float,3,cortical thickness,Mean thickness of S-subparietal in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.40E-01,1.95E-02
1323,27696,aparc-a2009s_rh_thickness_S-temporal-inf,,mm,float,3,cortical thickness,Mean thickness of S-temporal-inf in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,8.32E-02,1.51E-02
1324,27697,aparc-a2009s_rh_thickness_S-temporal-sup,,mm,float,3,cortical thickness,Mean thickness of S-temporal-sup in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.76E-01,1.86E-02
1325,27698,aparc-a2009s_rh_thickness_S-temporal-transverse,,mm,float,3,cortical thickness,Mean thickness of S-temporal-transverse in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,21280,21260,21268,10686,-,-,31966,31941,31952,1.53E-01,2.57E-02
1326,26501,aseg_global_intensity_3rd-Ventricle,,AU,float,4,regional and tissue intensity,Mean intensity of 3rd-Ventricle in the whole brain generated by subcortical volumetric segmentation (aseg),21282,21262,21270,10686,-,-,31968,31943,31954,1.79E-01,1.97E-02
1327,26502,aseg_global_intensity_4th-Ventricle,,AU,float,4,regional and tissue intensity,Mean intensity of 4th-Ventricle in the whole brain generated by subcortical volumetric segmentation (aseg),21282,21262,21270,10686,-,-,31968,31943,31954,2.42E-01,2.37E-02
1328,26503,aseg_global_intensity_5th-Ventricle,,AU,float,4,regional and tissue intensity,Mean intensity of 5th-Ventricle in the whole brain generated by subcortical volumetric segmentation (aseg),21282,21262,21270,10686,-,-,31968,31943,31954,-4.50E-03,1.34E-02
1329,26504,aseg_global_intensity_Brain-Stem,,AU,float,4,regional and tissue intensity,Mean intensity of Brain-Stem in the whole brain generated by subcortical volumetric segmentation (aseg),21282,21262,21270,10686,-,-,31968,31943,31954,2.13E-01,1.77E-02
1330,26505,aseg_global_intensity_CSF,,AU,float,4,regional and tissue intensity,Mean intensity of CSF in the whole brain generated by subcortical volumetric segmentation (aseg),21282,21262,21270,10686,-,-,31968,31943,31954,1.89E-01,1.91E-02
1331,26506,aseg_global_intensity_WM-hypointensities,,AU,float,4,regional and tissue intensity,Mean intensity of WM-hypointensities in the whole brain generated by subcortical volumetric segmentation (aseg),21282,21262,21270,10686,-,-,31968,31943,31954,1.05E-01,1.77E-02
1332,26507,aseg_global_intensity_non-WM-hypointensities,,AU,float,4,regional and tissue intensity,Mean intensity of non-WM-hypointensities in the whole brain generated by subcortical volumetric segmentation (aseg),21282,21262,21270,10686,-,-,31968,31943,31954,9.40E-03,1.23E-02
1333,26508,aseg_global_intensity_Optic-Chiasm,,AU,float,4,regional and tissue intensity,Mean intensity of Optic-Chiasm in the whole brain generated by subcortical volumetric segmentation (aseg),21282,21262,21270,10686,-,-,31968,31943,31954,1.55E-01,1.93E-02
